0.00.416.140 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.416.942 W srv  llama_server: -----------------
0.00.416.944 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.416.945 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.416.946 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.416.946 W srv  llama_server: -----------------
0.00.423.490 I srv    load_model: loading model 'C:/inky_models/Qwen2.5-Coder-7B-Instruct-Q4_K_M.gguf'
0.00.778.512 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to 28, abort
0.01.000.833 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.04.516.072 I cmn          init: llama threadpool init, n_threads = 6
0.04.799.481 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 24576, kv_unified = 'false'
0.04.813.366 I srv  llama_server: model loaded
0.04.813.377 I srv  llama_server: listening on http://127.0.0.1:8080
0.04.813.377 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.04.813.378 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
0.08.540.329 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.08.540.366 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.15.676.605 I slot print_timing: id  0 | task 0 | n_gen =    100, tg =  24.34 t/s, tg_3s =  24.59 t/s
0.17.024.637 I slot print_timing: id  0 | task 0 | prompt eval time =    3068.77 ms /  3438 tokens (    0.89 ms per token,  1120.32 tokens per second)
0.17.024.646 I slot print_timing: id  0 | task 0 |        eval time =    5415.47 ms /   133 tokens (   41.03 ms per token,    24.37 tokens per second)
0.17.024.647 I slot print_timing: id  0 | task 0 |       total time =    8484.24 ms /  3571 tokens
0.17.024.648 I slot print_timing: id  0 | task 0 |    graphs reused =        132
0.17.025.036 I slot      release: id  0 | task 0 | stop processing: n_tokens = 3570, truncated = 0
0.20.804.379 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.950 (> 0.100 thold), f_keep = 0.961
0.20.804.603 I slot launch_slot_: id  0 | task 135 | processing task, is_child = 0
0.25.327.235 I slot print_timing: id  0 | task 135 | n_gen =    100, tg =  24.30 t/s, tg_3s =  24.55 t/s
0.26.700.925 I slot print_timing: id  0 | task 135 | prompt eval time =     448.85 ms /   182 tokens (    2.47 ms per token,   405.48 tokens per second)
0.26.700.938 I slot print_timing: id  0 | task 135 |        eval time =    5447.44 ms /   133 tokens (   41.27 ms per token,    24.23 tokens per second)
0.26.700.940 I slot print_timing: id  0 | task 135 |       total time =    5896.30 ms /   315 tokens
0.26.700.942 I slot print_timing: id  0 | task 135 |    graphs reused =        263
0.26.701.216 I slot      release: id  0 | task 135 | stop processing: n_tokens = 3746, truncated = 0
0.50.461.706 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.907 (> 0.100 thold), f_keep = 0.818
0.50.461.825 I slot launch_slot_: id  0 | task 269 | processing task, is_child = 0
0.53.997.257 I slot print_timing: id  0 | task 269 | prompt eval time =     534.69 ms /   313 tokens (    1.71 ms per token,   585.38 tokens per second)
0.53.997.264 I slot print_timing: id  0 | task 269 |        eval time =    3000.68 ms /    74 tokens (   41.11 ms per token,    24.33 tokens per second)
0.53.997.265 I slot print_timing: id  0 | task 269 |       total time =    3535.37 ms /   387 tokens
0.53.997.266 I slot print_timing: id  0 | task 269 |    graphs reused =        335
0.53.997.406 I slot      release: id  0 | task 269 | stop processing: n_tokens = 3451, truncated = 0
0.57.991.684 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.938 (> 0.100 thold), f_keep = 0.977
0.57.991.796 I slot launch_slot_: id  0 | task 344 | processing task, is_child = 0
1.01.481.639 I slot print_timing: id  0 | task 344 | prompt eval time =     505.09 ms /   223 tokens (    2.26 ms per token,   441.51 tokens per second)
1.01.481.653 I slot print_timing: id  0 | task 344 |        eval time =    2984.73 ms /    74 tokens (   40.89 ms per token,    24.46 tokens per second)
1.01.481.654 I slot print_timing: id  0 | task 344 |       total time =    3489.82 ms /   297 tokens
1.01.481.655 I slot print_timing: id  0 | task 344 |    graphs reused =        407
1.01.481.892 I slot      release: id  0 | task 344 | stop processing: n_tokens = 3668, truncated = 0
1.25.244.499 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.295 (> 0.100 thold), f_keep = 0.310
1.25.342.902 I slot launch_slot_: id  0 | task 419 | processing task, is_child = 0
1.31.813.508 I slot print_timing: id  0 | task 419 | n_gen =    100, tg =  24.31 t/s, tg_3s =  24.56 t/s
1.34.827.383 I slot print_timing: id  0 | task 419 | n_gen =    174, tg =  24.41 t/s, tg_3s =  24.55 t/s
1.37.848.932 I slot print_timing: id  0 | task 419 | n_gen =    248, tg =  24.44 t/s, tg_3s =  24.49 t/s
1.40.886.878 I slot print_timing: id  0 | task 419 | n_gen =    322, tg =  24.42 t/s, tg_3s =  24.36 t/s
1.42.775.029 I slot print_timing: id  0 | task 419 | prompt eval time =    2398.52 ms /  2718 tokens (    0.88 ms per token,  1133.20 tokens per second)
1.42.775.037 I slot print_timing: id  0 | task 419 |        eval time =   15033.58 ms /   368 tokens (   40.96 ms per token,    24.41 tokens per second)
1.42.775.038 I slot print_timing: id  0 | task 419 |       total time =   17432.10 ms /  3086 tokens
1.42.775.039 I slot print_timing: id  0 | task 419 |    graphs reused =        772
1.42.775.236 I slot      release: id  0 | task 419 | stop processing: n_tokens = 4222, truncated = 0
1.47.045.578 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.927 (> 0.100 thold), f_keep = 0.912
1.47.045.875 I slot launch_slot_: id  0 | task 789 | processing task, is_child = 0
1.51.679.257 I slot print_timing: id  0 | task 789 | n_gen =    100, tg =  24.06 t/s, tg_3s =  24.31 t/s
1.54.712.928 I slot print_timing: id  0 | task 789 | n_gen =    174, tg =  24.20 t/s, tg_3s =  24.39 t/s
1.57.733.643 I slot print_timing: id  0 | task 789 | n_gen =    247, tg =  24.19 t/s, tg_3s =  24.17 t/s
2.00.761.679 I slot print_timing: id  0 | task 789 | n_gen =    320, tg =  24.17 t/s, tg_3s =  24.11 t/s
2.02.770.034 I slot print_timing: id  0 | task 789 | prompt eval time =     519.00 ms /   301 tokens (    1.72 ms per token,   579.96 tokens per second)
2.02.770.043 I slot print_timing: id  0 | task 789 |        eval time =   15205.13 ms /   368 tokens (   41.43 ms per token,    24.14 tokens per second)
2.02.770.044 I slot print_timing: id  0 | task 789 |       total time =   15724.14 ms /   669 tokens
2.02.770.045 I slot print_timing: id  0 | task 789 |    graphs reused =       1137
2.02.770.246 I slot      release: id  0 | task 789 | stop processing: n_tokens = 4517, truncated = 0
2.26.501.102 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.667 (> 0.100 thold), f_keep = 0.679
2.26.501.233 I slot launch_slot_: id  0 | task 1158 | processing task, is_child = 0
2.32.201.547 I slot print_timing: id  0 | task 1158 | n_gen =    100, tg =  23.43 t/s, tg_3s =  23.67 t/s
2.35.219.457 I slot print_timing: id  0 | task 1158 | n_gen =    171, tg =  23.47 t/s, tg_3s =  23.53 t/s
2.38.256.088 I slot print_timing: id  0 | task 1158 | n_gen =    241, tg =  23.35 t/s, tg_3s =  23.05 t/s
2.41.284.415 I slot print_timing: id  0 | task 1158 | n_gen =    310, tg =  23.22 t/s, tg_3s =  22.78 t/s
2.44.309.050 I slot print_timing: id  0 | task 1158 | n_gen =    379, tg =  23.14 t/s, tg_3s =  22.81 t/s
2.47.309.793 I slot print_timing: id  0 | task 1158 | n_gen =    447, tg =  23.07 t/s, tg_3s =  22.66 t/s
2.50.341.950 I slot print_timing: id  0 | task 1158 | n_gen =    515, tg =  22.98 t/s, tg_3s =  22.43 t/s
2.53.372.761 I slot print_timing: id  0 | task 1158 | n_gen =    584, tg =  22.96 t/s, tg_3s =  22.77 t/s
2.56.413.484 I slot print_timing: id  0 | task 1158 | n_gen =    652, tg =  22.89 t/s, tg_3s =  22.36 t/s
2.59.417.204 I slot print_timing: id  0 | task 1158 | n_gen =    720, tg =  22.87 t/s, tg_3s =  22.64 t/s
3.02.432.797 I slot print_timing: id  0 | task 1158 | n_gen =    788, tg =  22.84 t/s, tg_3s =  22.55 t/s
3.05.458.087 I slot print_timing: id  0 | task 1158 | n_gen =    856, tg =  22.81 t/s, tg_3s =  22.48 t/s
3.08.470.538 I slot print_timing: id  0 | task 1158 | n_gen =    924, tg =  22.79 t/s, tg_3s =  22.57 t/s
3.09.351.983 I slot print_timing: id  0 | task 1158 | prompt eval time =    1475.67 ms /  1528 tokens (    0.97 ms per token,  1035.46 tokens per second)
3.09.351.998 I slot print_timing: id  0 | task 1158 |        eval time =   41375.06 ms /   944 tokens (   43.88 ms per token,    22.79 tokens per second)
3.09.351.999 I slot print_timing: id  0 | task 1158 |       total time =   42850.73 ms /  2472 tokens
3.09.352.000 I slot print_timing: id  0 | task 1158 |    graphs reused =       2075
3.09.352.382 I slot      release: id  0 | task 1158 | stop processing: n_tokens = 5538, truncated = 0
3.13.189.195 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.908 (> 0.100 thold), f_keep = 0.829
3.13.189.330 I slot launch_slot_: id  0 | task 2103 | processing task, is_child = 0
3.18.033.943 I slot print_timing: id  0 | task 2103 | n_gen =    100, tg =  23.78 t/s, tg_3s =  24.02 t/s
3.21.044.746 I slot print_timing: id  0 | task 2103 | n_gen =    171, tg =  23.70 t/s, tg_3s =  23.58 t/s
3.24.067.087 I slot print_timing: id  0 | task 2103 | n_gen =    242, tg =  23.64 t/s, tg_3s =  23.49 t/s
3.27.106.420 I slot print_timing: id  0 | task 2103 | n_gen =    314, tg =  23.65 t/s, tg_3s =  23.69 t/s
